Followers,Following,Posts,Engagement Rate (%),Avg Likes per Post,Avg Comments per Post,Verified,Account Age (Years),Bio Text,Account Type
4473,1188,360,5.12,911,54,0,11,Foodie | Reviews and recipes,Real
3509,189,172,5.61,583,67,1,6,Foodie | Reviews and recipes,Fake
36038,2837,54,2.48,705,39,0,8,Entrepreneur & lifestyle blogger,Real
48584,1809,179,2.55,631,96,0,9,Aspiring artist | Drawing my dreams,Real
6953,4031,281,4.56,170,25,0,11,Photographer and content creator 📸,Fake
39483,1042,50,3.35,121,96,0,6,DM for collaborations or inquiries!,Real
13267,4628,427,4.2,240,67,0,4,Follow for daily inspiration 🌟,Real
19516,4539,53,2.92,559,94,0,3,Business inquiries? Contact below 👇,Real
23734,3233,273,0.24,231,63,0,4,Sharing moments from my journey,Real
19885,3534,179,2.66,41,95,0,5,Passionate traveler and food lover,Real
38724,506,316,2.44,725,80,0,7,Business inquiries? Contact below 👇,Fake
7212,1389,334,1.79,920,24,0,2,DM for collaborations or inquiries!,Fake
4811,2771,346,7.44,768,93,0,7,Entrepreneur & lifestyle blogger,Real
36031,1158,41,1.57,575,82,0,6,Nature lover | Saving the planet 🌍,Fake
44551,131,104,4.08,581,95,0,10,Love exploring new places 🌎,Real
27670,871,244,8.47,89,69,0,3,Sharing moments from my journey,Real
4858,82,426,0.33,370,40,0,11,Passionate traveler and food lover,Real
17071,4236,153,9.97,584,86,0,2,Aspiring artist | Drawing my dreams,Fake
7933,3831,409,4.04,313,67,0,3,Photographer and content creator 📸,Real
23687,1823,228,8.21,880,3,0,9,Nature lover | Saving the planet 🌍,Fake
12830,4420,212,4.89,208,61,0,8,Business inquiries? Contact below 👇,Real
12664,2519,300,6.18,982,33,0,2,Sharing moments from my journey,Real
33942,4019,147,1.48,207,11,0,6,Fitness enthusiast 💪 | Health advocate,Real
35167,4752,312,5.4,78,35,0,4,Photographer and content creator 📸,Fake
11465,4327,178,6.46,106,46,0,7,Business inquiries? Contact below 👇,Fake
5326,1072,56,9.35,273,37,0,5,Aspiring artist | Drawing my dreams,Fake
15824,4815,299,5.06,132,36,0,11,Entrepreneur & lifestyle blogger,Real
8216,479,167,9.24,896,85,0,4,Passionate traveler and food lover,Real
6784,2647,77,0.41,521,74,1,10,Follow for daily inspiration 🌟,Real
46864,2798,145,2.26,708,98,0,7,Sharing moments from my journey,Real
25325,1315,72,0.03,575,8,1,10,Entrepreneur & lifestyle blogger,Fake
37234,1298,446,4.23,837,92,0,2,DM for collaborations or inquiries!,Real
7002,1665,284,2.13,675,97,0,7,Check out my website for more updates!,Real
42934,3329,34,5.13,58,3,0,7,Passionate traveler and food lover,Fake
7917,3392,197,0.96,626,45,0,7,Fitness enthusiast 💪 | Health advocate,Real
18382,1711,239,5.11,273,2,0,5,Aspiring artist | Drawing my dreams,Real
25289,3341,6,8.78,485,9,0,4,Personal blog | Stay positive ✨,Fake
42075,2251,324,2.96,411,46,0,9,Business inquiries? Contact below 👇,Real
2429,4554,308,2.88,287,60,0,2,Digital nomad living my best life 🌴,Real
31309,417,213,8.08,827,78,0,1,DM for collaborations or inquiries!,Real
48659,1897,375,0.06,489,15,1,5,Sharing moments from my journey,Real
16507,2175,339,2.29,101,81,0,10,Love exploring new places 🌎,Real
35877,3110,7,1.31,757,58,0,4,Sharing moments from my journey,Fake
15782,954,180,7.37,190,15,0,9,Foodie | Reviews and recipes,Fake
32666,3834,105,7.49,313,17,0,8,Digital nomad living my best life 🌴,Fake
32322,1239,67,5.23,780,85,0,2,Check out my website for more updates!,Real
47562,1685,340,3.96,787,36,0,4,Passionate traveler and food lover,Fake
39911,241,227,6.39,522,71,0,2,Personal blog | Stay positive ✨,Real
9364,2610,427,4.54,553,33,0,11,Follow for daily inspiration 🌟,Fake
35163,1283,45,3.85,450,8,0,8,Photographer and content creator 📸,Fake
37615,4084,359,3.5,78,72,1,8,Nature lover | Saving the planet 🌍,Fake
17886,2289,339,5.1,159,36,0,3,Entrepreneur & lifestyle blogger,Fake
29718,4115,224,1.02,750,30,0,9,Passionate traveler and food lover,Fake
26854,2005,46,4.54,32,63,0,7,Photographer and content creator 📸,Fake
13765,157,153,9.07,219,59,0,8,Aspiring artist | Drawing my dreams,Real
36048,3961,362,6.04,948,94,0,6,Aspiring artist | Drawing my dreams,Fake
913,3650,7,9.08,881,4,0,10,Check out my website for more updates!,Fake
32993,2683,406,1.7,260,98,0,11,Entrepreneur & lifestyle blogger,Fake
12960,1182,293,5.02,857,81,0,6,Sharing moments from my journey,Real
27010,3437,249,3.79,363,56,0,10,Digital nomad living my best life 🌴,Real
49976,2055,245,6.34,156,45,0,8,Follow for daily inspiration 🌟,Fake
14240,1957,346,4.59,654,9,0,10,Love exploring new places 🌎,Fake
7654,2474,356,4.41,333,67,0,1,Follow for daily inspiration 🌟,Real
8217,4748,55,0.09,830,42,0,4,Nature lover | Saving the planet 🌍,Real
5997,3135,274,0.73,358,70,0,7,Digital nomad living my best life 🌴,Fake
49063,4163,471,1.58,81,20,0,7,Fitness enthusiast 💪 | Health advocate,Fake
16587,2226,374,3.37,843,71,0,3,Passionate traveler and food lover,Fake
17971,4288,53,5.76,179,8,1,4,Business inquiries? Contact below 👇,Real
35108,1122,256,4.06,279,54,1,5,Entrepreneur & lifestyle blogger,Fake
35197,3796,451,2.94,294,48,0,7,Nature lover | Saving the planet 🌍,Real
20067,2824,477,5.01,955,65,0,11,Sharing moments from my journey,Real
36053,2996,142,5.13,731,52,0,11,Love exploring new places 🌎,Fake
43827,3597,155,7.5,249,6,0,3,Fitness enthusiast 💪 | Health advocate,Real
46738,1082,348,7.79,256,43,0,8,Business inquiries? Contact below 👇,Real
9070,128,271,2.45,174,84,0,7,Business inquiries? Contact below 👇,Fake
37499,898,400,1.67,707,63,0,4,Nature lover | Saving the planet 🌍,Fake
40511,2818,242,6.5,179,91,0,10,Fitness enthusiast 💪 | Health advocate,Real
21500,3552,140,6.57,6,35,0,8,Nature lover | Saving the planet 🌍,Fake
31611,1353,21,2.49,489,1,0,8,Digital nomad living my best life 🌴,Fake
22702,11,317,6.11,792,38,0,9,Check out my website for more updates!,Fake
15282,380,394,7.24,369,47,0,4,Photographer and content creator 📸,Real
1241,1151,369,1.29,765,15,0,10,Follow for daily inspiration 🌟,Real
35733,1999,290,6.64,282,5,0,11,Fitness enthusiast 💪 | Health advocate,Real
19276,3946,364,7.3,217,6,0,6,Photographer and content creator 📸,Real
23621,815,248,2.75,620,25,0,2,Passionate traveler and food lover,Fake
30230,4854,388,3.51,620,44,0,8,Personal blog | Stay positive ✨,Real
4758,454,13,3.29,225,4,0,11,Check out my website for more updates!,Real
9832,4561,204,1.08,619,12,0,4,Love exploring new places 🌎,Fake
23979,361,245,1.45,601,62,0,10,Foodie | Reviews and recipes,Real
36258,2347,188,3.17,554,11,0,8,Fitness enthusiast 💪 | Health advocate,Real
26545,1861,165,4.04,318,87,1,10,Photographer and content creator 📸,Fake
28332,2210,174,0.13,165,63,0,10,Sharing moments from my journey,Real
19930,2599,272,4.2,438,43,0,6,Business inquiries? Contact below 👇,Fake
48443,1167,107,9.03,312,66,0,3,Passionate traveler and food lover,Fake
32464,2542,341,4.02,451,18,0,9,Personal blog | Stay positive ✨,Real
39489,3016,272,5.11,626,85,0,4,Check out my website for more updates!,Fake
159,4294,147,3.56,497,72,0,9,Nature lover | Saving the planet 🌍,Fake
23316,3003,168,5.24,277,37,0,6,Passionate traveler and food lover,Real
42197,699,382,0.88,652,83,0,4,Sharing moments from my journey,Real
3439,342,307,2.6,78,74,0,10,Love exploring new places 🌎,Fake
17257,637,176,4.0,919,55,0,3,Digital nomad living my best life 🌴,Fake
45280,3767,362,6.47,195,45,0,1,Follow for daily inspiration 🌟,Real
16213,129,92,7.74,251,12,1,3,DM for collaborations or inquiries!,Real
40521,206,106,6.33,262,91,0,3,Nature lover | Saving the planet 🌍,Real
2536,4530,233,0.01,276,76,0,4,Photographer and content creator 📸,Fake
49590,491,392,5.63,434,39,1,6,Digital nomad living my best life 🌴,Fake
7697,826,471,5.87,699,18,0,6,Entrepreneur & lifestyle blogger,Fake
44315,2162,374,1.36,886,97,0,7,Personal blog | Stay positive ✨,Real
38381,1675,294,6.96,757,67,1,7,Personal blog | Stay positive ✨,Fake
43409,4663,470,7.75,206,30,0,5,DM for collaborations or inquiries!,Fake
9985,1246,462,7.09,524,97,1,4,Personal blog | Stay positive ✨,Fake
39141,1054,284,5.34,425,3,0,8,DM for collaborations or inquiries!,Real
34414,4688,229,6.02,336,21,0,5,Entrepreneur & lifestyle blogger,Real
38499,1977,30,0.86,454,41,0,6,Passionate traveler and food lover,Real
38070,4846,56,8.26,792,73,1,4,Passionate traveler and food lover,Real
43744,4252,177,2.59,443,46,1,4,Check out my website for more updates!,Real
42551,139,412,9.95,534,63,0,3,Digital nomad living my best life 🌴,Fake
47609,4632,174,0.12,635,33,0,2,Check out my website for more updates!,Real
30543,3729,321,3.86,184,92,0,4,Love exploring new places 🌎,Real
40144,1223,44,4.4,895,31,0,7,Business inquiries? Contact below 👇,Fake
31034,4017,415,7.11,157,92,0,3,Passionate traveler and food lover,Fake
2236,3710,174,7.66,197,6,0,10,Entrepreneur & lifestyle blogger,Real
29966,2394,57,5.83,64,83,0,9,Business inquiries? Contact below 👇,Real
7352,4796,468,7.72,898,49,0,8,Love exploring new places 🌎,Fake
37628,3512,429,9.58,571,54,0,7,Foodie | Reviews and recipes,Fake
20126,1294,323,0.45,170,15,0,7,Sharing moments from my journey,Fake
26787,770,73,5.08,527,10,0,2,Follow for daily inspiration 🌟,Fake
7360,2315,186,5.77,509,33,0,8,Digital nomad living my best life 🌴,Fake
3774,445,381,2.47,310,41,0,7,Aspiring artist | Drawing my dreams,Real
23855,1580,376,1.43,862,29,0,8,Follow for daily inspiration 🌟,Real
2020,2177,81,8.43,490,68,0,3,Love exploring new places 🌎,Fake
45980,894,228,9.75,73,31,0,11,Nature lover | Saving the planet 🌍,Fake
27389,686,229,5.06,837,74,0,5,Foodie | Reviews and recipes,Fake
13888,660,339,5.96,222,72,0,4,Check out my website for more updates!,Fake
41199,1233,471,2.58,10,2,0,6,Check out my website for more updates!,Real
44427,3112,306,3.02,10,27,0,10,Business inquiries? Contact below 👇,Real
47233,3048,185,5.25,599,12,0,10,Love exploring new places 🌎,Real
28267,793,170,5.78,747,77,0,4,Aspiring artist | Drawing my dreams,Fake
28771,359,104,8.11,282,43,0,6,Business inquiries? Contact below 👇,Fake
44859,3475,9,3.52,490,47,0,5,Follow for daily inspiration 🌟,Fake
6654,2437,346,5.57,912,74,1,11,Check out my website for more updates!,Real
32148,3466,86,9.32,56,32,0,4,Aspiring artist | Drawing my dreams,Real
15711,3132,351,8.41,323,57,0,2,Passionate traveler and food lover,Real
42721,1382,71,8.48,370,20,0,11,Aspiring artist | Drawing my dreams,Fake
30350,3724,395,6.85,68,21,0,2,DM for collaborations or inquiries!,Real
22412,1503,110,6.61,671,0,0,2,Photographer and content creator 📸,Fake
37855,4874,258,2.25,671,3,0,4,Aspiring artist | Drawing my dreams,Fake
47812,3570,128,3.79,75,54,0,6,Digital nomad living my best life 🌴,Fake
43218,2378,314,10.0,806,37,0,7,Aspiring artist | Drawing my dreams,Real
23802,3963,152,9.8,861,46,0,4,Nature lover | Saving the planet 🌍,Real
43372,2147,0,1.3,155,58,0,11,Entrepreneur & lifestyle blogger,Real
35875,4251,420,3.95,0,19,0,9,Sharing moments from my journey,Fake
18446,892,400,9.57,592,74,0,3,Personal blog | Stay positive ✨,Real
31161,1187,187,2.81,772,40,0,10,Personal blog | Stay positive ✨,Real
48086,408,452,7.99,57,44,0,9,Check out my website for more updates!,Fake
3585,1803,201,8.78,676,51,0,9,Nature lover | Saving the planet 🌍,Fake
3316,614,198,0.97,890,67,1,10,Fitness enthusiast 💪 | Health advocate,Fake
23314,578,397,9.07,699,76,0,4,Photographer and content creator 📸,Real
30438,3723,109,9.88,999,57,0,8,Check out my website for more updates!,Fake
26989,1771,484,8.47,495,80,0,3,Personal blog | Stay positive ✨,Fake
14399,2318,415,3.75,141,3,0,8,Entrepreneur & lifestyle blogger,Fake
21199,2300,257,0.02,66,98,0,5,Personal blog | Stay positive ✨,Real
33092,665,329,2.38,273,24,0,3,Aspiring artist | Drawing my dreams,Fake
5727,4169,148,7.14,350,46,0,3,Business inquiries? Contact below 👇,Real
3235,1465,343,8.31,500,61,0,8,Business inquiries? Contact below 👇,Fake
46770,4019,249,3.11,700,96,0,10,DM for collaborations or inquiries!,Fake
29503,3428,405,2.3,292,59,0,5,Photographer and content creator 📸,Fake
48896,897,105,0.5,910,27,0,11,Sharing moments from my journey,Real
4437,1467,258,5.48,981,60,0,6,Digital nomad living my best life 🌴,Fake
26241,433,263,4.96,356,0,0,11,Check out my website for more updates!,Fake
345,1657,306,2.97,596,57,0,10,Love exploring new places 🌎,Fake
24244,2881,328,8.36,530,74,0,2,Entrepreneur & lifestyle blogger,Fake
13498,3631,443,3.15,450,86,0,6,Photographer and content creator 📸,Fake
41542,1131,409,8.71,783,44,1,10,Entrepreneur & lifestyle blogger,Real
44838,1588,143,4.72,138,34,0,10,DM for collaborations or inquiries!,Real
12740,2105,169,5.9,966,25,0,2,Entrepreneur & lifestyle blogger,Real
20692,3604,8,2.17,862,48,0,3,Foodie | Reviews and recipes,Fake
20734,4879,289,2.27,936,29,0,7,Nature lover | Saving the planet 🌍,Real
12664,1094,451,6.6,515,89,0,3,Fitness enthusiast 💪 | Health advocate,Fake
19127,4579,276,4.35,3,69,0,2,Fitness enthusiast 💪 | Health advocate,Real
36768,175,453,5.59,342,30,1,8,Nature lover | Saving the planet 🌍,Fake
22881,2368,256,3.41,724,12,0,11,Follow for daily inspiration 🌟,Fake
22536,2714,358,3.52,710,46,0,7,Sharing moments from my journey,Real
25099,3272,254,3.15,474,69,0,9,Aspiring artist | Drawing my dreams,Real
35590,2151,25,8.4,348,21,0,7,Sharing moments from my journey,Real
38525,1513,153,3.04,115,23,0,5,Personal blog | Stay positive ✨,Real
9688,3190,265,0.2,730,85,0,10,Entrepreneur & lifestyle blogger,Real
49405,3615,395,2.63,880,99,0,11,Digital nomad living my best life 🌴,Real
35029,3059,361,2.98,646,25,0,10,Foodie | Reviews and recipes,Fake
35065,3509,483,4.05,183,91,0,3,Photographer and content creator 📸,Fake
34144,2658,493,9.7,508,8,1,6,Love exploring new places 🌎,Real
23202,1985,114,0.93,920,77,0,9,Follow for daily inspiration 🌟,Real
33071,1994,134,4.25,755,85,0,2,Aspiring artist | Drawing my dreams,Real
12818,2751,110,0.95,186,45,0,7,Personal blog | Stay positive ✨,Fake
3215,4361,45,6.41,764,12,0,5,Check out my website for more updates!,Real
34093,3204,59,7.64,181,11,0,4,Fitness enthusiast 💪 | Health advocate,Real
23708,1893,447,6.24,265,1,0,10,Aspiring artist | Drawing my dreams,Fake
19376,2505,5,5.73,345,13,0,9,Aspiring artist | Drawing my dreams,Fake
2808,1028,317,5.81,858,51,0,3,Photographer and content creator 📸,Fake
38935,4336,180,8.59,789,92,0,2,Check out my website for more updates!,Fake
6394,1459,467,0.03,539,53,0,2,Follow for daily inspiration 🌟,Fake
36088,2888,426,9.06,881,1,0,10,Business inquiries? Contact below 👇,Real
48876,21,498,1.06,540,64,0,4,Aspiring artist | Drawing my dreams,Real
23307,2108,343,6.17,679,12,0,5,Nature lover | Saving the planet 🌍,Fake
20737,2740,223,6.42,598,11,0,6,Passionate traveler and food lover,Real
32145,4574,295,8.38,594,71,0,11,Follow for daily inspiration 🌟,Real
19142,3828,240,0.23,158,91,0,11,Check out my website for more updates!,Fake
34333,2792,195,8.21,517,55,0,6,Sharing moments from my journey,Fake
16308,1761,311,9.33,199,2,0,7,Sharing moments from my journey,Fake
15745,986,424,5.39,254,63,1,7,Entrepreneur & lifestyle blogger,Fake
43669,953,296,1.13,889,81,0,8,Business inquiries? Contact below 👇,Real
8268,4318,475,1.46,280,6,0,2,Fitness enthusiast 💪 | Health advocate,Real
36547,4872,55,6.04,730,52,0,11,Photographer and content creator 📸,Real
42405,545,448,5.04,404,68,0,3,Follow for daily inspiration 🌟,Real
27261,3181,161,9.83,105,70,0,6,Check out my website for more updates!,Real
37803,4135,223,9.87,532,19,0,2,Foodie | Reviews and recipes,Fake
49015,1424,0,4.05,259,27,0,1,Aspiring artist | Drawing my dreams,Fake
28000,1843,9,2.39,331,19,0,3,Foodie | Reviews and recipes,Fake
46396,116,118,7.61,183,45,1,10,DM for collaborations or inquiries!,Real
29537,3239,276,7.0,829,97,0,9,Sharing moments from my journey,Real
9427,2586,472,3.14,398,58,0,3,Follow for daily inspiration 🌟,Real
35389,1946,177,2.93,128,15,0,2,Aspiring artist | Drawing my dreams,Fake
49513,1231,243,6.63,645,71,0,8,Personal blog | Stay positive ✨,Real
25219,4344,482,7.39,879,73,0,8,Photographer and content creator 📸,Real
24928,2351,427,9.42,209,56,0,8,Follow for daily inspiration 🌟,Fake
49979,1214,384,1.25,323,12,0,3,Sharing moments from my journey,Real
33224,509,494,6.58,384,66,0,11,Digital nomad living my best life 🌴,Real
18722,1896,80,2.28,257,4,0,2,Follow for daily inspiration 🌟,Fake
14894,428,255,0.26,923,4,0,7,Personal blog | Stay positive ✨,Fake
35652,574,327,5.62,565,6,0,1,Digital nomad living my best life 🌴,Fake
9605,1324,166,5.71,366,42,0,4,Aspiring artist | Drawing my dreams,Fake
40216,3925,57,7.66,567,86,0,3,Personal blog | Stay positive ✨,Real
2180,2218,215,1.63,494,16,0,11,Digital nomad living my best life 🌴,Fake
21460,3963,354,3.62,159,37,0,4,Love exploring new places 🌎,Fake
