Followers,Following,Posts,Engagement Rate (%),Avg Likes per Post,Avg Comments per Post,Verified,Account Age (Years),Bio Text,Account Type
53,912,317,5.269567009802423,457,82,0,6,Passionate traveler and food lover,Real
5146,4626,215,8.04,409,84,0,6,DM for collaborations or inquiries!,Fake
25784,916,1,9.37,678,19,0,9,DM for collaborations or inquiries!,Real
22557,2280,337,2.7064652350260374,563,51,1,4,Personal blog | Stay positive ✨,Real
8024,2341,376,7.62,941,72,0,1,Fitness enthusiast 💪 | Health advocate,Real
6197,4498,41,4.36,496,49,0,3,Nature lover | Saving the planet 🌍,Real
38548,1805,379,5.461831140028129,353,77,0,4,Personal blog | Stay positive ✨,Fake
40322,840,108,0.5891128890353459,296,62,0,1,DM for collaborations or inquiries!,Fake
41231,2000,450,3.9164280409181433,245,58,0,5,Foodie | Reviews and recipes,Fake
32917,1366,373,8.21,677,25,1,9,Love exploring new places 🌎,Fake
27673,1803,469,4.4757707075513,999,59,1,4,Fitness enthusiast 💪 | Health advocate,Fake
37243,1971,43,1.87,954,83,0,11,Love exploring new places 🌎,Fake
27812,1303,499,2.9536805852027346,537,83,1,7,Foodie | Reviews and recipes,Fake
53,545,48,2.416477208335009,340,89,1,7,Entrepreneur & lifestyle blogger,Fake
29379,4128,11,9.14,931,19,0,11,Aspiring artist | Drawing my dreams,Fake
40970,2001,44,9.91,45,45,0,6,Foodie | Reviews and recipes,Real
29075,2079,237,1.597300911079174,864,26,0,7,Aspiring artist | Drawing my dreams,Real
22750,3801,294,5.041526607827219,315,63,1,4,Sharing moments from my journey,Fake
38830,2002,252,0.39,758,90,0,1,Fitness enthusiast 💪 | Health advocate,Fake
13762,3736,364,4.46,722,2,0,10,Sharing moments from my journey,Fake
23575,3474,131,9.61,190,92,0,6,Entrepreneur & lifestyle blogger,Fake
47355,281,476,9.31,504,0,0,7,DM for collaborations or inquiries!,Fake
33647,3308,166,4.74,732,46,0,2,Entrepreneur & lifestyle blogger,Real
39071,2606,217,3.1,90,44,0,10,Entrepreneur & lifestyle blogger,Real
49998,1367,196,5.0047135241076175,191,20,0,6,Fitness enthusiast 💪 | Health advocate,Real
7464,4999,112,6.414192831491198,661,0,1,5,Business inquiries? Contact below 👇,Real
28772,1588,417,3.77,961,10,0,6,Fitness enthusiast 💪 | Health advocate,Real
23742,1189,166,0.34,568,9,0,9,Business inquiries? Contact below 👇,Real
47245,2153,386,6.69,417,78,0,6,Sharing moments from my journey,Fake
19153,2245,131,0.5797206804380037,403,72,1,6,Foodie | Reviews and recipes,Fake
38854,2195,92,2.22,140,68,0,5,Photographer and content creator 📸,Real
13705,4217,388,2.49,547,82,0,8,Follow for daily inspiration 🌟,Real
10598,916,425,7.48,326,85,0,8,Love exploring new places 🌎,Real
12404,3703,480,5.78,704,46,1,9,DM for collaborations or inquiries!,Real
38246,1255,447,1.24,626,22,0,11,Follow for daily inspiration 🌟,Real
6253,3804,166,8.82,397,46,0,7,Love exploring new places 🌎,Fake
36712,365,285,8.467707115403853,437,0,0,10,DM for collaborations or inquiries!,Fake
47668,640,7,1.67,835,11,0,7,Foodie | Reviews and recipes,Fake
36937,1081,400,0.25,640,45,0,7,Love exploring new places 🌎,Fake
37404,2594,419,2.27,439,38,0,6,Check out my website for more updates!,Fake
36907,3505,161,7.15,418,87,0,4,Entrepreneur & lifestyle blogger,Fake
2782,1845,399,7.56,504,95,0,6,Digital nomad living my best life 🌴,Fake
24545,4097,206,7.32,571,79,0,2,Passionate traveler and food lover,Fake
46023,2890,93,5.394984112524297,0,50,1,2,Aspiring artist | Drawing my dreams,Fake
